"name","LASSO_MAPE","Forward_MAPE","tree_MAPE","RF_MAPE","SVMR_L_MAPE"
"k_100_p_1_lag_10.csv","1.14(1.03,1.27)","0.24(0.22,0.27)","6.9(6.08,7.87)","3.29(2.71,4.01)","2.61(2.27,3)"
"k_100_p_1_lag_20.csv","1.2(1.07,1.34)","0.29(0.25,0.34)","7.72(6.71,8.9)","3.92(3.27,4.82)","3.32(2.98,3.68)"
"k_100_p_1_lag_30.csv","1.2(1.07,1.33)","0.37(0.32,0.42)","7.98(7.02,9.07)","4.2(3.54,5.06)","3.47(3.06,3.92)"
"k_100_p_1_lag_60.csv","1.19(1.06,1.32)","0.51(0.44,0.6)","7.76(6.82,8.82)","4.25(3.53,5.17)","4.04(3.55,4.61)"
"k_100_p_10_lag_10.csv","4.53(4.06,5.02)","4.16(3.76,4.57)","9.55(8.57,10.66)","7.69(6.85,8.65)","5.92(5.23,6.6)"
"k_100_p_10_lag_20.csv","4.91(4.4,5.45)","4.79(4.3,5.33)","9.65(8.68,10.72)","7.82(6.95,8.77)","5.7(5.11,6.31)"
"k_100_p_10_lag_30.csv","4.84(4.36,5.34)","6.49(5.49,7.73)","9.94(8.95,11.07)","8.11(7.23,9.08)","5.82(5.24,6.45)"
"k_100_p_10_lag_60.csv","5.12(4.6,5.67)","7.49(6.54,8.54)","9.94(8.97,11.03)","8.36(7.47,9.33)","6.89(6.12,7.69)"
"k_100_p_30_lag_10.csv","14.13(12.63,15.74)","13.67(12.18,15.26)","17.1(15.19,19.23)","15.98(14.24,17.81)","16.67(14.79,18.66)"
"k_100_p_30_lag_20.csv","14.22(12.81,15.7)","17.65(14.78,21.12)","17.76(15.81,19.82)","16.07(14.24,18.07)","23.65(21.37,25.99)"
"k_100_p_30_lag_30.csv","14.13(12.59,15.78)","21.72(18.74,25.08)","17.91(16.15,19.88)","16.37(14.76,18.03)","22.79(20.42,25.29)"
"k_100_p_30_lag_60.csv","14.89(13.28,16.58)","28.61(25.52,31.86)","18.99(17.07,21.08)","16.89(15.22,18.68)","19.89(17.53,22.49)"
"k_100_p_5_lag_10.csv","2.06(1.86,2.27)","1.86(1.67,2.05)","7.66(6.72,8.76)","5.24(4.58,6.07)","3.63(3.2,4.12)"
"k_100_p_5_lag_20.csv","2.72(2.45,3)","2.24(1.97,2.54)","8.62(7.62,9.75)","5.62(4.87,6.63)","3.93(3.55,4.34)"
"k_100_p_5_lag_30.csv","2.7(2.44,2.98)","2.66(2.36,3.03)","8.91(7.95,10.02)","5.81(5.09,6.72)","4.3(3.81,4.83)"
"k_100_p_5_lag_60.csv","2.74(2.47,3.03)","3.47(3.02,3.97)","8.23(7.32,9.31)","6.18(5.39,7.15)","5.25(4.63,5.9)"
"k_30_p_1_lag_10.csv","1.2(1.07,1.34)","0.47(0.39,0.57)","17.35(15.33,19.81)","8.1(6.68,9.82)","4.76(4.05,5.59)"
"k_30_p_1_lag_20.csv","3.25(1.62,5.43)","2.48(0.83,4.71)","18.97(15.91,22.59)","10.69(8.37,13.46)","8.11(6.43,10.31)"
"k_30_p_1_lag_30.csv","3.81(1.93,6.15)","3.08(1.19,5.44)","19.39(16.68,22.53)","11.84(9.59,14.49)","9.12(7.14,11.55)"
"k_30_p_1_lag_60.csv","1.03(0.9,1.16)","0.65(0.57,0.73)","18.02(15.91,20.35)","11.12(9.39,13.26)","9.19(8.05,10.42)"
"k_30_p_10_lag_10.csv","6.21(5.56,6.9)","6.65(5.9,7.48)","18.54(16.5,20.98)","11.62(10.15,13.24)","9.15(8.12,10.32)"
"k_30_p_10_lag_20.csv","6.72(5.85,7.72)","7.41(6.56,8.35)","18.57(16.11,21.27)","12.45(10.79,14.21)","13.07(9.29,19.56)"
"k_30_p_10_lag_30.csv","6.15(5.49,6.86)","7.56(6.56,8.68)","18.33(16.4,20.38)","12.7(11.28,14.36)","10.46(9.31,11.57)"
"k_30_p_10_lag_60.csv","6.74(6.04,7.48)","7.01(6.26,7.76)","18.33(16.32,20.54)","13.21(11.57,15.01)","12.1(10.74,13.64)"
"k_30_p_30_lag_10.csv","17.54(15.71,19.49)","23.25(19.57,27.56)","23.36(20.78,26.12)","20.96(18.56,23.47)","25.23(22.43,28.13)"
"k_30_p_30_lag_20.csv","18.54(16.25,20.85)","27.7(24.42,31.15)","24.71(22.1,27.71)","21.06(18.99,23.36)","24.37(20.58,29.32)"
"k_30_p_30_lag_30.csv","18.1(16.06,20.25)","28.23(24.75,31.83)","24.32(21.73,27)","21.28(19.18,23.54)","22.96(20.23,25.83)"
"k_30_p_30_lag_60.csv","19(17.08,20.93)","27.02(23.15,31.74)","24.76(22.39,27.28)","21.49(19.33,23.75)","22.05(19.84,24.32)"
"k_30_p_5_lag_10.csv","3.15(2.83,3.5)","2.98(2.6,3.37)","17.2(15.32,19.4)","9.36(7.85,11.19)","6.39(5.54,7.36)"
"k_30_p_5_lag_20.csv","3.76(3.16,4.5)","3.97(3.1,5.06)","18.34(15.89,21.17)","10.75(9.09,12.68)","10.39(6.96,16.4)"
"k_30_p_5_lag_30.csv","3.01(2.69,3.37)","3.1(2.75,3.48)","17.73(15.77,19.95)","10.87(9.49,12.54)","7.89(6.97,8.88)"
"k_30_p_5_lag_60.csv","3.5(3.13,3.92)","3.45(2.92,4.05)","18.86(16.8,21.06)","11.99(10.36,13.95)","10.52(9.23,11.92)"
"k_500_p_1_lag_10.csv","1.15(1.03,1.28)","0.2(0.18,0.23)","5.95(5.35,6.62)","1.52(1.25,1.86)","1.58(1.42,1.76)"
"k_500_p_1_lag_20.csv","1.17(1.05,1.3)","0.21(0.19,0.24)","6.69(5.79,7.74)","1.62(1.33,2.01)","1.93(1.72,2.17)"
"k_500_p_1_lag_30.csv","1.16(1.04,1.29)","0.2(0.17,0.22)","6.74(5.95,7.66)","1.68(1.37,2.11)","1.97(1.77,2.19)"
"k_500_p_1_lag_60.csv","1.16(1.04,1.29)","0.24(0.21,0.27)","6.85(6.09,7.75)","1.65(1.36,2.07)","2.52(2.25,2.8)"
"k_500_p_10_lag_10.csv","3.91(3.52,4.32)","3.65(3.27,4.05)","8.88(7.97,9.87)","5.87(5.28,6.53)","4.13(3.71,4.58)"
"k_500_p_10_lag_20.csv","3.91(3.52,4.32)","3.65(3.27,4.05)","8.88(7.97,9.87)","5.87(5.28,6.53)","4.13(3.71,4.58)"
"k_500_p_10_lag_30.csv","3.69(3.34,4.07)","3.56(3.22,3.94)","8.85(7.98,9.81)","5.97(5.31,6.69)","4.83(4.29,5.44)"
"k_500_p_10_lag_60.csv","3.97(3.57,4.4)","3.5(3.13,3.9)","9.42(8.51,10.37)","6.04(5.4,6.73)","5.06(4.53,5.59)"
"k_500_p_120_lag_10.csv","36.53(32.43,40.79)","37.09(32.99,41.28)","39.09(34.44,44.24)","37.23(32.85,41.85)","NA(NA,NA)"
"k_500_p_1440_lag_10.csv","45.68(39.93,52.03)","45.93(40.26,52.21)","48.66(42.44,55.48)","48.63(42.63,55.29)","NA(NA,NA)"
"k_500_p_180_lag_10.csv","40.19(36.06,44.67)","40.33(36.25,44.8)","40.78(36.3,45.8)","40.7(36.44,45.37)","NA(NA,NA)"
"k_500_p_30_lag_10.csv","12.92(11.66,14.27)","12.58(11.34,13.9)","16.14(14.5,17.9)","14.91(13.38,16.56)","13.06(11.76,14.44)"
"k_500_p_30_lag_20.csv","12.64(11.38,13.99)","12.29(11,13.7)","15.25(13.38,17.12)","14.2(12.69,15.87)","13.71(12.31,15.17)"
"k_500_p_30_lag_30.csv","12.97(11.64,14.46)","13.43(12.04,14.98)","16.32(14.81,18.01)","14.79(13.35,16.37)","15.48(13.83,17.2)"
"k_500_p_30_lag_60.csv","13.23(11.84,14.71)","13.73(12.22,15.32)","15.54(13.85,17.41)","14.23(12.57,16.04)","19.57(17.45,21.75)"
"k_500_p_5_lag_10.csv","1.82(1.63,2.01)","1.63(1.46,1.81)","7.04(6.2,8.04)","3.44(3.03,3.9)","2.37(2.12,2.64)"
"k_500_p_5_lag_20.csv","1.76(1.58,1.95)","1.58(1.4,1.76)","7.27(6.35,8.36)","3.53(3.09,4.08)","2.5(2.25,2.77)"
"k_500_p_5_lag_30.csv","1.7(1.54,1.87)","1.5(1.35,1.65)","7.29(6.52,8.19)","3.67(3.21,4.23)","2.56(2.32,2.81)"
"k_500_p_5_lag_60.csv","2.03(1.82,2.26)","1.47(1.31,1.63)","7.51(6.68,8.46)","3.74(3.29,4.28)","3.28(2.91,3.67)"
"k_500_p_60_lag_10.csv","23.55(20.72,26.43)","23.87(21.04,26.85)","26.37(23.49,29.65)","26.02(22.8,29.57)","NA(NA,NA)"
