"p1","p5","p10","p30","p60","p120","p180","p1440"
14784.04578,14866.2884,14809.34047,14829.91967,20644.41134,38141.03286,34036.08662,23097.30943
29723.33157,29529.7667,27959.37127,26984.15622,29571.68754,47597.06089,49836.51297,23454.72885
14933.66739,14704.18848,14626.56211,13672.62172,16123.97519,18207.71656,22977.58184,45409.35953
18903.90111,20435.66911,21641.54376,25167.6864,22225.73475,8884.513953,9117.164838,18631.86376
27021.78135,26736.80285,27295.80388,27141.64196,26593.81405,30011.00798,40110.30295,34184.67543
43553.21334,44175.67224,45756.21883,48047.31337,48968.95198,38687.17225,27377.348,28526.88806
21690.55014,21415.56195,21537.30445,21136.8387,23051.68001,27093.4742,22225.75822,5612.898189
42989.86647,43167.4236,43389.34042,44276.65595,45606.57483,48262.63015,50123.80622,27563.60298
47213.17337,47437.93732,47676.33112,47682.1347,46851.93628,41394.06126,39973.28624,17293.37209
28737.36312,27772.69152,25673.6871,24236.54245,28839.02676,45618.8362,47829.56319,15646.94077
19898.1793,20198.73109,20498.85654,18334.40558,15666.45409,17002.19863,13808.98973,25836.95474
14218.71244,12682.94666,10941.20258,10103.60701,8386.478612,8236.484344,30863.20207,39633.47032
45777.21191,45854.61579,45932.00622,45961.56936,42906.28537,33517.5276,17420.02674,23317.17163
21261.6795,22225.41455,22553.9647,17147.10717,19569.05971,14919.57546,15937.2928,26408.17648
44047.85412,43280.9241,43261.98023,43869.03213,41242.44877,40904.15109,38637.52504,47910.52874
47913.9258,47981.81919,47972.85044,47991.4185,47549.90427,42337.75586,30257.26539,34093.49994
33290.01409,31653.14636,30604.5114,28507.69021,24826.86082,13187.84306,13563.4543,15928.53092
13945.25805,14100.1483,13979.30839,12371.29439,12356.89269,13085.16233,16231.1461,18240.96481
30379.78427,29880.18861,28273.47331,30501.28605,32482.29453,23585.78306,26171.74279,24501.69757
20201.16181,21185.87067,22736.21484,29705.3417,38092.82144,47095.97243,46624.71836,49585.6567
27436.89109,25648.97106,23904.71921,20774.00403,22941.07142,22315.64536,23059.37458,34018.37246
23736.05066,24416.44499,25679.12918,28591.8603,28353.28922,28235.84629,27802.78456,21271.66864
36071.9887,36795.30662,37714.08608,42655.43617,46742.73871,38378.81619,27284.25666,50246.40402
30927.3521,30648.54597,30016.41188,29790.04665,27359.72361,37399.79648,37445.94808,16616.79625
36526.46415,37573.95678,38185.90923,39654.6372,38814.52151,47719.41814,49767.66818,14548.83319
41356.47901,42273.1198,43279.8708,48046.17553,51229.50338,44161.0163,28358.72864,27400.80445
41301.74762,41345.88573,43216.21022,46072.06987,42293.36203,36486.11585,14895.73805,22303.21507
51537.58504,51635.14753,51597.5798,51601.7851,52103.3431,41724.07181,33013.0447,28314.92985
14732.51085,14731.11093,14705.2891,14723.08711,20679.76306,24014.00845,21899.23954,12568.908
36246.63554,35004.90007,33597.54921,31358.5956,27384.6449,36100.70603,34895.11722,48760.48197
25638.30045,24014.39096,22386.54268,21051.76874,22455.63672,22911.38783,16180.19488,46176.92598
44945.34034,43961.64168,42375.70762,38189.55975,29729.16959,33849.54607,34469.41632,23439.98289
39641.65615,39122.10502,38450.17229,37516.15137,35068.05096,44863.19836,37416.07281,16606.89824
22971.01989,22751.36501,22394.11264,21336.54103,23758.30243,21957.56419,22765.74779,26202.20029
45111.19478,45852.02714,46511.22297,46183.03075,40726.04222,40664.04489,45108.72376,47589.73467
18574.51703,19064.93997,20037.06446,22231.57791,24629.27043,23986.41174,13815.32063,13834.57511
37487.82515,38249.23604,39162.85382,39652.4579,36183.62817,25793.37249,13605.79323,15757.72987
13730.10161,14745.08435,14586.17379,15490.36766,14110.28216,24968.26448,19780.94188,47836.73816
14960.15503,15698.79478,17451.63992,21804.76101,23248.5925,19776.13246,16319.01195,34041.19599
43033.3054,43353.30441,43394.7153,45043.11621,41370.08767,43873.65115,24698.39758,40138.43052
37801.1718,37042.206,36302.16297,28281.27425,25060.76241,26566.09221,32027.42446,13343.06871
41056.15174,41350.62632,42251.75701,42404.06441,33879.20633,30943.35922,40529.54993,44384.03558
33597.48194,33523.44555,33660.59751,30039.88548,28936.04161,20811.56824,14661.97494,45773.73478
27642.11137,27479.61443,26250.60028,22513.30063,23877.14091,32355.84055,28472.59331,8835.884105
21297.68699,21298.67986,21271.69271,21207.392,28594.76304,37751.65525,29842.85511,21190.62745
14731.6342,15996.90115,17390.11038,20586.97092,21181.65707,21264.20897,29450.2186,44123.82899
16249.91051,16192.53988,16013.73878,14231.19733,14245.49905,15950.91769,18343.12321,16241.04841
51580.32931,50214.35344,50291.36442,52037.70819,52037.48032,35970.11881,38597.04328,22806.2105
14812.06266,14794.51554,14810.37518,14806.66634,19150.91633,39483.92269,34601.43335,23888.96927
14740.604,15664.83062,15911.39475,18867.8422,23545.97096,17352.49842,26372.85155,34956.20234
25304.03867,24134.86418,23286.60332,21227.96099,22221.93658,30094.9971,34773.58844,45872.41009
38646.64228,38066.46197,36653.75659,35968.3314,30449.57859,23336.84592,13206.08673,12719.63767
35428.86759,34594.70598,34469.41632,36572.46585,39579.83596,31339.21156,32040.1972,44306.72282
13276.69666,13284.21311,13286.24807,13249.34926,11935.56428,19055.87445,30341.70722,53119.24605
17680.63347,16868.1708,15350.78525,12575.2507,15077.82254,24797.23171,27543.23638,49084.76109
13846.49254,14133.87117,14492.10536,13676.60358,15920.92385,14320.57346,23515.5231,12228.90623
32026.01644,31529.94608,30454.78905,30772.12152,31067.2254,40148.87537,44962.24775,46001.11409
32202.85294,33471.47758,35418.67017,42784.41624,49954.0758,36273.6824,29477.14444,30662.26439
48383.56828,48369.98879,48392.30489,48393.28132,48477.19437,51679.84362,47938.07797,28201.4327
36076.90078,36464.86893,37470.59553,41681.39872,47974.27007,48501.0288,33091.14467,21030.57895
30338.77091,29795.17399,28971.3003,25076.88495,22830.89436,13260.33654,17003.80975,10695.0101
37645.85191,37979.96186,39991.38867,43577.67981,30206.3996,17672.81197,27720.37575,30026.17806
39531.28465,40374.82027,40101.10244,35398.4967,31486.63678,37943.70376,41934.73342,18411.36689
45123.38891,46681.40988,48455.23108,48963.54557,45451.99949,44563.82692,35089.72702,48001.99953
14532.08813,14541.13267,14538.36232,14535.97851,10927.5434,21370.90536,21539.95935,28013.1394
25456.88644,24497.46069,24561.7962,22894.29264,18222.08623,18247.20164,13443.61043,39280.92658
30946.76097,30172.84639,28777.30491,29487.20898,28225.74809,32495.53609,23655.86356,22431.92013
27300.88828,29492.21851,31188.89755,30001.15503,30092.10237,43441.74683,33698.52588,15134.61153
24254.81313,23996.88259,23543.2028,19249.52928,11149.46671,18859.25398,28250.38551,8112.319627
37268.39738,38176.39233,38926.50331,39227.97712,41424.77998,42783.75616,43952.79225,49508.74493
11758.09563,11564.84463,11336.60803,12403.91728,14633.60945,14214.7279,14232.63017,23854.29268
20338.08347,18169.56475,16060.73436,16618.27544,24350.21018,27228.04117,44805.15799,25245.70244
15881.04653,15932.0827,15919.25043,16024.09284,16724.02864,24554.98817,32154.35923,15713.57612
21873.07384,22209.48291,22596.43073,24238.83059,24113.45052,13848.16434,19622.84711,18064.51174
47280.20577,46040.15033,44233.97174,38993.59227,30458.33642,27634.15954,31577.42599,14585.23572
15134.61153,15839.53093,15110.05113,13721.84588,13710.27822,17912.59147,24403.71672,17900.19339
18840.17145,19309.2426,20503.37658,17924.02382,14666.15326,14584.56245,14526.08336,42704.05446
46395.14118,44461.40029,43362.8651,39139.67659,26329.19904,25086.25486,22803.87033,13766.80341
44222.50939,44809.88122,44436.28421,43219.54004,44846.07578,42685.72208,37079.07527,48201.35915
24641.27174,23591.7647,22232.54538,19911.09734,23317.38428,26121.0903,16238.60723,22606.63914
24229.57853,24070.36908,24029.94074,21274.93654,32771.65284,36070.93717,36846.10001,29556.26344
32456.27207,32257.42973,31465.10842,31091.67903,38228.56341,44627.14105,39908.19012,14617.1659
14095.82203,14114.25965,14090.27984,18066.40904,24656.75182,19746.07451,19756.33637,34085.62545
15001.6532,15699.32411,15908.99622,19020.23086,23657.98811,17405.32932,26553.31749,35049.39136
27466.98681,27809.71037,28924.76325,29716.25868,31011.01531,40389.46059,25490.76573,41736.00178
22323.20971,21766.45733,20789.73244,20715.82814,24895.10725,23728.5637,17031.01692,43970.64087
32578.67648,32651.46679,33797.61506,40717.22552,50240.74414,44616.29986,19953.02915,27989.67254
13323.88976,13325.53808,13270.01028,13287.42789,13219.74597,16874.50674,27904.0291,53819.93528
31895.39325,32269.40116,32110.09873,30167.99253,22101.27346,11803.23994,32534.78995,15732.07143
47980.09583,48008.70023,47953.23153,38142.04136,28469.62614,19043.77705,21073.22798,19829.44229
8826.455951,8825.825976,8837.462742,8827.855063,18529.1523,25129.3939,18171.10611,46170.25146
35154.31303,36256.78906,37279.24253,43016.19637,47318.29425,43265.37303,32295.13194,28295.32895
26726.06772,26879.31119,27070.84109,27836.58666,28984.15624,31275.47571,33561.72588,43139.47542
45526.20023,45629.19159,45771.6796,50113.50161,47653.97389,30614.73818,31049.85961,28134.41879
35553.2774,35224.45794,34344.00281,34984.05989,33812.04411,32472.28522,42569.64911,51172.76132
23165.74538,22715.78857,22259.75128,19568.28211,13341.73572,13278.77537,12004.2907,24633.94222
31884.13287,31363.53711,30012.32847,30716.26665,42386.60324,45798.53628,29859.12326,18675.93698
29300.90869,28298.07075,27424.2801,28123.00141,30549.59818,41983.51352,27564.61071,29084.24312
24974.1828,25094.64629,25239.69136,27148.1549,19634.82866,12602.10804,18923.79816,47686.57908
15760.9634,15431.57137,14738.82188,14725.02627,14763.09716,14748.61924,14751.80538,13412.99583
28756.93014,26673.22137,24718.47948,24357.92464,29787.84178,29247.85813,30600.06621,18241.54471
34657.5113,34688.26581,34931.0245,44010.00832,45448.1253,44370.11764,23876.08257,21444.57126
16354.42575,17224.32955,17606.82743,17821.07637,18190.89644,22949.47192,19580.93113,38272.56276
14250.83621,14633.60945,15505.6071,16155.69324,14217.66273,14243.09666,14862.99624,15926.77322
21861.77035,21018.35779,20011.33249,15952.12252,7759.61737,10403.4206,21413.73615,34823.78689
28444.16397,28151.5251,27477.24063,23874.32926,21330.31618,22815.5507,37511.95683,44808.77468
19118.04502,19184.74083,20065.50925,26949.98525,28436.43879,27924.23741,24229.54031,12574.05356
25874.17303,25410.01159,26344.81949,27193.35877,30153.76801,39457.72576,16172.87718,31618.4733
33919.068,33301.20555,32418.4159,30387.65644,29814.75787,32025.9058,45840.69087,21522.87859
31705.97296,30946.32096,30620.5817,30386.55397,31582.82116,40639.55906,39235.95992,45064.0182
17762.04948,18757.57034,18834.80322,23507.20139,36336.99922,46968.7879,41480.01103,23812.0927
15264.62729,14691.67927,14665.70035,17451.06859,18554.39098,14586.88828,14471.29274,36790.47586
32367.4253,34078.80346,36238.56861,41106.07326,44427.7935,41981.60498,44651.22383,26423.59409
28891.37468,28868.94174,28461.70179,26546.91926,26925.89698,23858.21915,14554.82161,38922.56744
31385.71,32778.42135,33772.13336,37974.40754,42948.09155,33049.80685,27650.64902,13711.79911
19494.60725,19971.27482,20289.39868,22804.59148,26565.2136,23601.00427,13932.71901,38816.5924
12349.36531,11318.50073,10948.12509,15233.66327,18281.55149,21359.01458,21461.70111,35718.22744
27466.10862,28119.86112,28888.81112,29603.94812,30983.45624,40215.13611,25447.76717,41715.60114
47460.74776,47447.11196,47431.00515,47379.12285,42738.66567,31035.18909,23705.72405,43280.33505
47176.79636,46650.57054,46861.94767,42819.75972,37500.82029,22203.80695,26132.94418,45289.87675
32497.79476,32739.06102,32801.1478,32761.08937,27947.13844,13971.51076,26780.88987,38995.37963
31689.58782,30033.61755,27578.65037,24394.39555,24774.31981,27247.08488,17528.03404,16483.51356
48420.93422,47290.2361,47232.03594,40016.41461,30547.0299,39139.02091,38685.63276,46489.76483
30510.30279,30380.2828,29989.94015,26758.71051,23115.61164,23553.98728,26489.40595,24732.38903
26878.38133,27332.36626,28182.65354,30234.08481,36057.08171,46604.74319,39719.8299,33023.14197
27384.51761,27482.94312,26880.21822,23697.38056,27139.46682,29417.9083,25559.28718,29043.61589
17372.81077,16098.7558,15123.58793,9650.990504,8036.202996,14813.59196,18440.37545,24409.88202
22628.35655,21719.28181,21290.334,22821.22567,26795.55733,17718.53042,30104.25091,36761.70863
27794.26137,28106.62392,28825.9327,30754.90637,43489.14083,51885.89314,48101.61506,21359.41822
22272.27781,20684.35869,18741.59491,15047.19861,12551.40869,10391.70233,11209.95682,30409.91975
22080.31941,22345.92666,23726.19396,28360.85881,32254.26015,48659.38599,48077.1742,14709.85337
36783.06294,36675.00859,36852.78219,42531.56702,47823.98168,33468.48439,41427.77974,21898.14472
32379.93935,31291.45559,30900.01578,33151.5751,37932.38296,42141.39224,34288.16695,45116.61139
27953.52887,28515.89287,28917.28076,32540.14146,37435.9684,22901.18193,8825.825976,27136.09555
23064.4295,22506.425,21736.86892,21566.47261,25213.48084,26200.81942,25981.46781,14265.65893
21948.66532,22329.5402,22687.33428,22206.07526,25584.75129,14069.3961,13725.44489,11024.90181
26237.25428,26645.98209,26298.71765,27000.71695,24171.44857,15310.05945,16201.33488,19531.91819
18410.27086,18867.03593,20088.68845,21442.74211,22923.13667,31784.00057,44427.7935,24157.47373
33013.0447,34209.81321,34519.98677,38356.63796,36857.14446,45000.7183,48552.68902,31640.60941
32516.93244,31884.13287,31110.17974,30944.40181,40313.68886,46546.80265,30492.31607,18121.67162
31237.53521,29678.93299,27585.49709,20083.78796,18482.76105,35005.20646,42251.4687,45788.28494
45739.04891,44852.06184,43470.10373,41984.9522,39885.97812,25910.14062,12413.72592,30617.44721
24436.88753,24319.0956,24562.85627,24578.53133,27266.00494,16194.7458,7760.382306,33234.40916
25958.00445,27172.46399,27862.39654,30374.4789,36208.00889,42957.04958,48684.53612,10991.29326
29486.74164,28540.81801,27603.40356,28132.51607,30309.08725,41960.95067,27795.23721,29030.41939
23295.64534,24104.30526,23895.86829,22154.20274,17749.60854,20222.72354,22645.99254,45932.00622
26364.77334,26810.11793,26444.83678,21951.55515,15742.26774,28393.65652,27913.40371,31779.35765
29417.8979,29475.73937,30126.97187,28824.04912,24749.09858,18069.42221,22825.87573,30181.58201
26448.04865,26412.014,27052.43581,33696.036,38063.95191,46063.49295,43292.2284,32420.09785
