"p1","p5","p10","p30","p60","p120","p180","p1440"
32358.21291,32360.75169,32362.96131,30708.87582,25324.56251,26936.31983,37155.75513,43948.88207
42545.38994,43715.00572,45156.35223,42988.58839,46651.19504,45361.92891,42018.13547,49471.28226
26072.33106,27027.4959,29638.36355,34760.28372,38086.56672,31171.73843,42131.75098,50940.11648
43704.85038,44234.56497,43451.35918,37623.81192,30347.81727,21115.93081,24756.22203,7988.026744
47583.78767,47613.56492,47719.41814,49763.16412,49796.36049,34611.85165,31724.05496,21841.85424
36077.433,36592.86702,37003.60085,29779.96364,19982.71824,9959.843291,12485.3145,26879.45543
37168.15669,36644.64815,36283.9345,38258.42631,40977.79557,27940.92774,22595.32831,44032.88845
26112.03854,26156.04747,26579.55084,28151.2174,24949.73245,36455.70772,41168.41438,7587.937286
26261.3129,27757.91089,29693.66408,36187.83928,36749.17047,23271.22464,25153.20439,50178.25177
16926.52915,16928.44907,16933.13216,16948.83763,16947.894,18943.76653,48168.59382,25148.90432
30693.91382,29692.31649,28377.26207,26689.54604,26427.28753,36160.05211,33496.51668,36123.72998
47333.02458,46285.60265,45374.74043,39908.65024,42169.70526,45935.79795,45773.3857,32382.25861
22791.04236,23059.37458,23686.1455,23897.14457,21732.34745,16080.63492,22642.32807,35080.42999
19359.17927,18084.06261,16973.96077,12676.78624,17215.85163,33604.49149,20511.93726,46036.86107
40145.85412,40323.77807,40546.14588,41435.2644,42767.8863,45429.32855,48085.71902,34656.01253
27518.20384,27880.58075,29303.42657,24885.21623,25971.73779,40683.37291,47788.93173,17997.49146
12966.95633,13257.20126,13307.631,13922.24209,17159.65125,17467.8201,44781.14867,38386.3237
14928.15649,14932.20722,14930.31035,14999.10339,15130.7349,22278.84269,17760.44449,32052.08322
29208.34805,30079.14217,30821.29983,29333.31932,29322.86262,35127.5667,32273.69168,34174.00956
25052.1709,23824.2891,22671.7035,19482.98303,14873.15676,12997.53399,19237.75857,30487.76011
32079.98693,32052.28876,32155.3509,35815.79342,39668.65272,44590.0987,31239.33663,20269.78394
29611.56927,30334.37449,32331.19146,41075.675,47597.06089,49836.51297,51298.74184,21601.72211
36782.61712,36054.93632,33656.2853,27584.67662,23239.57153,26291.69354,31122.23896,12072.18894
30588.38173,30419.64909,29169.07519,25716.47309,22405.00601,22766.31933,13334.14111,31846.72967
25179.23606,25377.6247,26077.48038,35223.57459,41597.77221,29227.574,43432.98404,22963.79857
10548.13449,11924.12098,12597.74809,16330.66493,19226.25608,29767.40261,30555.05423,37312.53807
30760.30887,30445.86562,30385.81501,30540.85486,25746.15779,31899.4374,47992.73141,17071.84749
19983.89258,20125.42044,20508.7087,16866.52548,19536.98703,24222.26974,16515.62568,13277.09961
30563.43857,29769.59881,28175.07281,15471.46945,13816.40587,14103.42795,24004.50421,34884.89404
34451.07513,35074.91925,34728.1711,26935.72289,19238.588,22025.00272,22154.20274,39601.14286
35266.29692,34669.50021,33892.53476,34954.09529,33031.79558,33467.76782,43115.72743,51053.49158
27451.87202,27096.68495,27336.8275,25944.79417,28924.76325,32694.34322,37879.54039,40262.54407
47943.34814,46110.81889,44378.75954,36141.4256,19202.62209,10518.34164,25154.38594,14547.57012
19742.093,19742.69031,19756.33637,15809.67342,19179.10343,17344.02688,10136.68001,29164.02439
29705.3417,30752.27505,33413.50056,37910.24576,43441.97913,47247.61664,49525.0774,50213.66161
18059.92935,18801.97857,19394.68037,22420.63378,26304.61456,25737.94261,13636.26453,37943.70376
30800.66611,31008.1898,30945.35126,34517.28313,39428.06988,40881.96049,33283.25383,46559.79834
32149.42767,32961.4909,33948.32023,37980.18209,36829.72351,41146.09392,47995.4859,30597.28298
12352.41989,12335.40172,12356.89269,12342.22342,12373.95025,17697.1016,18014.46335,21954.06952
16891.0887,18072.76267,18218.8529,15806.32348,18755.59121,15760.9634,14757.33755,20375.42906
43531.48507,43917.53375,44189.04387,42741.25853,39185.00917,35783.77296,39347.06809,44606.01584
31468.29077,30347.81727,28919.95846,24793.07032,21067.30993,24720.13739,19839.45942,13176.1388
48446.20121,48461.59642,48467.13831,48514.04767,51575.33518,47013.43898,38966.62617,22240.33591
29457.03683,28998.87593,29651.4134,32053.44498,29564.07806,24447.62413,27266.00494,14830.03701
31773.11228,33604.19146,35025.38602,40726.68979,38554.57741,33892.33842,45392.92329,14796.10262
15237.16418,15214.72038,14494.52832,14501.41127,14519.28737,21225.41328,21231.72453,35851.71313
23207.8267,22035.07284,21631.74787,22495.78076,26701.23017,44669.89009,45773.73478,29790.95831
30409.78029,30593.00104,31157.15647,29497.34468,25764.17415,26281.58082,32901.00229,7630.448732
21990.59665,21386.45576,21245.67496,22446.13059,22039.77991,21378.17584,19732.8918,44550.78577
15435.55766,15504.52294,16497.3725,21102.94918,31460.89315,50917.88061,48378.83632,46419.14254
43530.27163,44492.05169,44793.30337,46824.57182,46977.03298,48466.72192,50139.77003,48718.09619
34719.03947,33964.4934,32917.11165,26099.20982,18674.56375,20331.48363,30373.34207,17170.58055
12732.65534,13866.56033,15600.72472,13192.99451,16061.97292,19759.07012,24049.712,25592.86969
22543.222,21365.02138,19964.57096,17184.06952,15440.42402,16079.37627,12679.71679,21983.68812
23248.5925,22710.79584,22927.47535,20144.50194,19778.06348,16640.49572,22594.59864,42010.80794
18346.82431,18830.77379,19762.26894,16573.27582,20796.4895,23468.92751,26197.63731,14555.09249
22568.57074,22131.13788,20778.5454,14123.96603,10782.82258,17467.68166,22359.38452,47997.28353
25861.7679,25144.45615,23615.82045,22550.93545,20744.40127,20557.31129,22142.29181,33760.22225
21340.3264,21628.94539,22373.53405,25159.40732,16169.04334,14678.82218,20849.41578,43636.77712
34176.67136,34608.3502,36704.76991,44424.34595,47826.22631,47814.00893,47640.8723,10276.18665
34665.56981,35022.89899,34677.85499,32101.43179,33247.34752,44964.84609,41394.88023,12986.5088
6418.433207,6495.104753,7682.215387,13866.56033,13189.57018,27651.94571,26164.70771,28995.22831
27654.02785,28843.70921,28944.77107,30384.37438,28888.66853,20720.59769,26342.09166,20898.72133
38625.89836,40505.31087,41507.72275,43151.80606,40700.53469,40602.9475,45444.98797,42566.15877
42081.39872,41522.33659,41308.25515,42330.42907,43917.39126,45541.51869,47484.1023,49767.66818
42184.27984,42137.87442,42435.51983,44423.19915,45942.83759,45787.22469,44205.88621,26864.91894
28632.06402,28799.84243,28603.18966,25906.19183,21442.65367,20419.74555,21167.41491,31589.76245
46038.79644,45066.64701,44271.62017,40328.66178,46941.54122,35285.88041,23619.03869,23747.7726
38748.04071,38876.58001,39200.10962,41637.08828,45533.30499,46780.40313,42482.74701,21435.52269
24310.04844,24489.98869,24714.87129,25614.05446,26961.75341,29653.28965,32339.69395,29717.50158
47374.17706,46846.01756,46823.87851,46125.69489,49502.23958,43062.88767,38915.86551,34913.57551
38154.95304,37857.36064,38160.53378,30159.43941,21066.18823,15849.48952,24452.78067,22892.04466
23693.71312,23485.18744,23071.53917,22194.11416,23545.0799,26243.13983,28936.04881,39832.97932
24079.88559,24655.37709,24668.66527,24977.48486,24285.1275,21729.10524,14663.63375,33981.78468
30996.52895,32194.6217,32455.81881,32426.85368,26365.55957,21961.49026,28743.53743,28126.09344
24509.97581,24012.22771,22200.996,20256.61575,14528.74366,13866.23075,16368.16111,37179.35506
46520.73554,46413.85145,46244.00699,46688.92213,46451.48324,25515.98978,23009.27162,39485.04854
25422.56937,25576.0047,25767.77451,26534.47945,27683.48759,29977.68324,32266.80772,36160.07894
19219.88092,17804.9175,15880.98127,16220.88936,14795.07544,18939.93717,39633.47032,27807.15874
17516.19256,16514.8706,16035.09836,18051.53959,21471.19464,25094.64629,18241.54471,34343.87217
46217.26418,44830.19491,42598.78757,36782.61712,27604.34273,23428.88097,32273.17847,22160.53507
18236.69268,18717.56997,18799.03498,19648.68894,27164.85525,32493.48254,35592.6199,33210.0592
12312.66928,12162.25832,12212.71904,16430.09267,19646.37063,16309.65559,13944.39153,10993.40848
30803.29182,31019.21119,30716.26665,36525.13918,47567.74111,41345.84322,26681.43583,13409.57961
46293.39439,46977.50138,48466.72192,50142.63603,50141.19835,43444.05419,34406.0408,24761.15688
21546.28383,21651.62447,23015.31017,26295.93107,33232.33138,43420.39637,43885.37241,29012.33961
46728.15133,47161.895,47499.17546,47538.9527,45875.16112,44686.04762,42344.54138,14338.42225
23956.24442,23217.50907,22022.54653,18446.92049,11911.87416,9163.409523,19377.08997,27355.47353
48095.79864,47725.66171,47082.55577,46046.14659,49528.29165,43067.00581,38021.22894,36690.7183
15638.5021,16641.09689,18008.53237,20458.54319,26491.02241,42845.68663,29828.01816,18031.17936
16610.61141,16103.29446,15070.96096,13606.69572,21641.81914,31611.64546,44702.12543,45229.39236
38502.17596,39708.26567,39067.24612,39753.56765,35104.17898,30042.62007,22285.67117,35449.49089
23135.25295,22123.78562,22045.47132,21736.75321,21259.83649,26193.9912,12105.20395,16169.04334
29245.31915,30694.85926,30835.10733,30959.8822,34087.52565,47077.78464,45250.32988,28758.44952
14557.44599,13363.15559,12209.03607,10500.13899,10477.71107,18970.84503,27191.04844,21184.0836
52035.86409,51308.54001,49604.93503,45229.39236,37912.5327,30603.40992,27847.41422,32083.86289
33080.12591,33219.81174,32574.97099,28988.05914,29150.28966,28558.13657,45364.01857,23583.09106
31637.95954,32546.15083,33185.29202,34291.94023,27578.87258,20350.93438,24506.0963,22022.35186
12341.19904,12336.43619,12380.83091,12770.11584,13729.94599,15220.91213,11932.42312,23781.94696
36843.90668,36026.31137,34978.54919,31658.92481,24509.97581,14482.08134,13885.98399,34606.61415
31917.27389,31838.02055,31529.71786,26674.10312,28204.06207,24851.76077,32507.44151,22303.62795
31814.03384,32646.894,33522.59466,31758.79189,29496.67642,30120.11171,26432.63196,24452.5158
44190.45098,44155.68699,44062.45119,44018.91186,40497.77711,22933.71006,31561.96902,13500.01492
14925.85914,14930.5888,14931.24735,14995.49105,15046.58549,21873.02065,18631.86376,32771.07601
46322.60703,47130.65627,46416.30034,45683.46987,44961.5805,40304.3583,41365.18608,47909.19387
45288.29447,46435.67423,46576.50186,48223.01767,44407.89136,50114.22657,50148.48567,48663.23202
14592.65606,15942.88034,17694.86851,24372.36078,20720.05475,23633.57423,11435.00514,29113.07314
14213.72085,14744.32053,16797.32958,17652.61602,13888.69454,17144.56013,14791.06503,15073.74204
30216.06332,30039.88548,29276.74905,30139.98485,22782.1563,18735.75339,17680.11858,43218.97805
29008.15264,28555.76515,27675.99339,27004.00479,27151.75736,13771.59307,14711.35987,39519.51771
22934.49918,22963.79857,23813.37599,20220.43716,27496.67733,42772.1169,44758.17036,26042.29099
34196.99321,34029.71335,33031.79558,30667.64766,28988.92795,40812.03902,46908.3197,37543.51954
46778.34029,46939.10508,47889.91159,44470.92286,40320.74845,40769.54799,44851.84067,44474.39094
24978.50288,23462.67213,21134.75354,21932.75962,27570.82796,43573.70234,33919.21878,26242.05921
33695.96748,33715.528,34403.16554,30546.36633,29732.94892,30162.08973,39493.90179,14725.02092
36390.73321,37974.333,39910.82745,41861.48994,41583.16868,39181.74365,45581.85609,42290.40192
35716.40876,35998.32797,35661.54438,31651.22146,26402.28412,38111.90056,46917.83002,44493.09248
47382.25725,46614.16698,45854.95662,45919.11636,45793.91182,40167.83957,30690.54555,29564.07806
28875.39052,27801.78778,26828.40792,19448.37339,14630.55054,17412.34956,30921.17739,38290.97706
51570.24479,51481.26612,51296.32291,46726.09266,43260.72509,28584.67667,14565.05996,35522.43118
39801.23097,39451.42879,38817.79475,35089.72702,35133.23469,37618.54879,47241.41379,47762.77984
51659.17487,51617.08991,51629.39419,51296.32291,44899.05768,36858.73396,17782.46013,28900.88299
10469.54354,10816.19858,11513.64795,11370.14963,16177.71231,19111.75079,18170.96003,27700.27508
37018.54496,37813.84804,38167.05483,33949.35046,23950.81431,15508.63322,22098.28007,25508.70966
27489.17619,27235.94217,26975.81341,28593.76757,25839.613,21367.88159,19565.38526,26949.9162
15913.79192,15913.59655,15912.96876,16840.35379,18751.20014,25170.9209,30669.06134,14839.80735
47216.67494,46908.3197,47087.26592,44513.79666,43586.26594,15717.20359,18733.21493,40148.87537
21654.51004,22227.43294,22505.7045,22558.13876,19733.47725,16699.90371,14079.16089,34007.17572
24714.50964,24900.5264,24165.91703,24826.05697,35145.41167,49309.45065,43505.68453,33815.03878
39535.74033,39323.08996,39087.54059,41548.62699,46711.37242,49788.26098,37459.75435,11354.32577
41061.46828,39537.83225,37961.77691,34101.86845,39973.28624,46819.0296,43821.20131,40872.50535
40503.77947,41724.14021,41993.01401,44520.70608,50147.0944,43126.47954,31917.27389,23981.8202
29557.05821,30910.71519,30760.67804,30962.63099,34325.05909,47062.53609,45256.72227,28506.21823
13323.8729,13327.89263,13299.14622,13286.89451,13217.14207,16876.57134,27806.9502,53806.75208
44860.57405,43519.19784,42641.61946,40970.66093,35549.47363,37466.00139,36373.41729,22876.10038
45259.46687,45850.01462,45957.09441,46821.92001,45870.06033,45975.26772,35042.91391,33396.56768
43780.89899,44275.30322,44072.01621,46183.71287,47803.70323,47104.93528,45440.96979,14323.72048
11369.37604,12254.69512,13648.92991,14076.5751,14739.51231,22370.50427,25813.56603,26337.82399
39240.77459,40948.78744,42946.82786,45741.89596,47984.24658,49839.4145,37922.62213,30206.77029
25635.32637,25036.07375,23733.39629,19392.06648,15683.1181,14295.63502,16682.61059,26352.18138
46878.56782,47317.33147,48223.01767,46172.41619,43982.20692,50178.80062,48997.72621,47458.72674
21826.55454,22171.62609,22608.39029,22765.74779,25736.56759,16497.57696,14500.64353,20884.97676
41372.38466,42211.31224,42941.89779,50246.40402,50852.36705,31638.92935,22654.41084,29175.29223
25655.04298,25423.99851,27413.32836,28186.08268,31458.1676,20545.34388,15256.58839,18375.53536
50482.22016,52220.54662,52035.86409,47893.13758,39635.98817,31757.84202,27352.26428,30933.6532
37457.55404,38321.73078,38382.32881,41253.35534,42080.14916,25694.50257,22528.79484,6431.758802
22300.49765,22142.22138,22695.22713,27016.9915,24754.14523,33867.21772,47142.64011,36326.50853
47055.19611,47199.54442,46792.92661,43335.31308,47951.1302,50732.89838,45295.19288,14635.95994
28464.32024,30023.52319,31925.89046,40620.43177,46736.50854,47294.56103,42885.39808,12278.68753
21344.4355,21134.83313,21298.28837,19646.65648,20533.02212,28985.66574,33111.22303,20918.95999
25233.39807,24973.08134,24641.27174,21351.46787,22566.92426,25868.44076,16105.77634,24049.712
